名次,馬號,馬名,騎師,練馬師,排位體重,實際負磅,檔位,頭馬距離,沿途走位,完成時間,獨嬴賠率,horse_info_url,日期,場次,horse_id
5,4,醒臣 ,田泰安,姚本輝,1128,130.0,6,1-1/4,8 8 5,1:09.27,5.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2019_D394,12/02/2023,7,D394
6,3,閃電 ,布文,沈集成,1204,131.0,9,3-1/2,1 0 9 6,1:09.62,3.7,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2021_G130,12/02/2023,7,G130
7,5,文明之星 ,霍宏聲,丁冠豪,1139,130.0,3,3-1/2,5 5 7,1:09.63,10.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2019_D429,12/02/2023,7,D429
8,11,高明駿將 ,黃皓楠,呂健威,1072,118.0,4,3-3/4,4 4 8,1:09.67,87.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2018_C511,12/02/2023,7,C511
9,9,萬眾力得 ,潘明輝,羅富全,1152,120.0,1,4-1/2,3 3 9,1:09.80,15.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2019_D328,12/02/2023,7,D328
10,8,順勢贏 ,陳嘉熙,賀賢,1076,119.0,11,4-3/4,1 1 1 1 1 0,1:09.86,38.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2020_E043,12/02/2023,7,E043
11,1,智慧神駒 ,賀銘年,苗禮德,1092,133.0,2,5-1/4,7 6 1 1,1:09.93,21.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2019_D456,12/02/2023,7,D456
WV,10,加州威勝 ,鍾易禮,告東尼,---,111.0,---,---,,---,---,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2021_G160,12/02/2023,7,G160
1,9,馬主雄風 ,梁家俊,蘇偉賢,1261,127.0,11,-,1 4 1 4 1 3 1,1:22.39,10.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2022_H047,12/02/2023,8,H047
2,14,燈胆王子 ,波健士,葉楚航,985,116.0,9,1,1 1 1 1 9 2,1:22.55,27.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2021_G179,12/02/2023,8,G179
3,1,閃得快 ,布文,沈集成,1206,135.0,8,1-1/2,1 2 1 0 8 3,1:22.63,8.8,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2019_D061,12/02/2023,8,D061
4,10,喜駿風采 ,潘明輝,文家良,1221,124.0,2,2-1/4,5 6 4 4,1:22.74,20.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2021_G422,12/02/2023,8,G422
5,2,快錢 ,潘頓,蔡約翰,1186,134.0,5,2-3/4,1 2 1 5,1:22.84,2.5,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2022_H126,12/02/2023,8,H126
6,3,威之星 ,班德禮,賀賢,1111,134.0,3,3,9 7 7 6,1:22.88,6.8,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2020_E132,12/02/2023,8,E132
7,7,金發銀發 ,蔡明紹,呂健威,1191,132.0,14,3,4 5 3 7,1:22.89,41.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2021_G112,12/02/2023,8,G112
8,6,超威力 ,何澤堯,黎昭昇,1101,132.0,13,3-1/2,2 1 2 8,1:22.95,9.3,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2022_H039,12/02/2023,8,H039
9,5,天外飛天 ,鍾易禮,大衛希斯,1124,123.0,7,3-3/4,8 9 1 1 9,1:22.98,12.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2021_G323,12/02/2023,8,G323
10,4,必先生 ,田泰安,苗禮德,1066,134.0,1,4-3/4,6 4 5 1 0,1:23.14,14.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2021_G288,12/02/2023,8,G288
11,8,鎂之妙 ,周俊樂,容天鵬,1242,128.0,10,5-3/4,1 0 1 2 1 2 1 1,1:23.30,39.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2018_C416,12/02/2023,8,C416
12,13,勝利之皇 ,賀銘年,高伯新,1130,123.0,12,7,3 3 6 1 2,1:23.51,102.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2020_E457,12/02/2023,8,E457
13,12,龍的風采 ,嘉里,韋達,1131,125.0,4,9,7 8 1 0 1 3,1:23.82,147.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2022_H029,12/02/2023,8,H029
14,11,星洲駿馬 ,霍宏聲,告東尼,1112,126.0,6,11-1/4,1 3 1 3 1 4 1 4,1:24.17,23.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2021_G047,12/02/2023,8,G047
1,4,激光天下 ,潘頓,黎昭昇,1167,128.0,12,-,1 1 1,1:09.59,2.5,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2022_H176,12/02/2023,4,H176
2,11,騰飛塔 ,波健士,蘇偉賢,1086,118.0,2,1-1/4,6 7 2,1:09.78,12.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2019_D500,12/02/2023,4,D500
3,7,小刺蛋 ,布文,苗禮德,1050,128.0,8,1-3/4,7 6 3,1:09.88,6.4,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2021_G458,12/02/2023,4,G458
4,10,樂加福 ,田泰安,韋達,1060,119.0,5,2,2 2 4,1:09.90,9.7,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2021_G244,12/02/2023,4,G244
5,9,奮鬥雄才 ,馬雅,葉楚航,1077,122.0,4,3-3/4,5 5 5,1:10.18,8.6,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2020_E255,12/02/2023,4,E255
6,1,名門望族 ,梁家俊,丁冠豪,1150,135.0,9,3-3/4,8 8 6,1:10.20,27.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2020_E460,12/02/2023,4,E460
7,2,好運寶馬 ,潘明輝,何良,1130,132.0,10,4-1/2,1 2 1 2 7,1:10.33,21.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2020_E157,12/02/2023,4,E157
8,12,果然駿 ,黃俊,方嘉柏,1143,112.0,3,4-3/4,9 1 0 8,1:10.35,12.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2021_G162,12/02/2023,4,G162
9,5,妙嘉輝 ,黎海榮,徐雨石,1023,128.0,1,5-1/4,3 3 9,1:10.42,44.0,https://racing.hkjc.com//racing/information/chinese/Horse/Horse.aspx?HorseId=HK_2021_G114,12/02/2023,4,G114
